objectid;filename;youtubeid;vimeoid;title;creator;date;description;subject;location;latitude;longitude;source;identifier;type;format;language;rights;rightsstatement;;;;;;;;;
ms_01;ms_01.pdf;;;Amores entre Dios y el alma. ;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_02;ms_02.pdf;;;Amores entre Dios y el alma;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_03;ms_03.pdf;;;Amores entre Dios y el alma;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_04;ms_04.pdf;;;Declaración de las canciones que tratan del ejercicio de amor entre el alma y su Esposo Cristo;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_05;ms_05.pdf;;;Canciones de San Juan de la Cruz ;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_06;ms_06.pdf;;;Canciones espirituales ;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_07;ms_07.pdf;;;Declaración de las canciones que tratan del exercicio del amor entre el alma y el eposo Cristo;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_08;ms_08.pdf;;;Obras completas;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_09;ms_09.pdf;;;Obra selecta de San Juan de la Cruz;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_10;ms_10.pdf;;;Cancionero religioso;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_11;ms_11.pdf;;;Papeles varios ;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_12;ms_12.pdf;;;Papeles místicos y literarios;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_13;ms_13.pdf;;;Papeles varios carmelitanos;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_14;ms_14.pdf;;;Poesías de Fray Luis de Granada, Fray Luis de León, San Juan de La Cruz y Santa Teresa de Jesús;Biblioteca Digital Hispánica;;;;;;;;;;application/pdf;es;Attribution 4.0 International (CC BY 4.0) ;https://creativecommons.org/licenses/by/4.0/;;;;;;;;;
ms_15;ms_15.pdf;;;Cántico Espiritual;Jagiellonian Digital Library;;;;;;;;;;application/pdf;es;Dominio Público;https://creativecommons.org/publicdomain/mark/1.0/deed.es;;;;;;;;;
ms_16;ms_16.pdf;;;Declaración de las canciones qve tratan de el exerçiçio de amor entre el alma esposa y el esposo Christo;Biblioteca Digital Memoria de Madrid;;;;;;;;;;application/pdf;es;Reconocimiento-NoComercial 2.5 España (CC BY-NC 2.5 ES;https://creativecommons.org/licenses/by-nc/2.5/es/;;;;;;;;;